"Load Name","PTID","Subzone","Zone"
" DCENNEVT_VL_LONG-ISL",998631,"LIPA LONG ISLAND","LONGIL"
"1ST-ROCHDALE_CE_DUNWOODI",109202,"CON ED DUNWOODIE","DUNWOD"
"1ST-ROCHDALE_CE_MILLWOOD",108202,"CON ED MILLWOOD","MILLWD"
"1ST-ROCHDALE_CE_NY-CITY",110202,"CON ED NY CITY","N.Y.C."
"1STNSTVT_VL_CAPITAL",988015,"NMPC CAPITAL","CAPITL"
"1STNSTVT_VL_CAPITAL2",966015,"NMPC CAPITAL","CAPITL"
"1STNSTVT_VL_CAPITAL3",944015,"NMPC CAPITAL","CAPITL"
"1STNSTVT_VL_CENTRAL",982015,"NMPC CENTRAL","CENTRL"
"1STNSTVT_VL_CENTRAL2",960015,"NMPC CENTRAL","CENTRL"
"1STNSTVT_VL_CENTRAL3",938015,"NMPC CENTRAL","CENTRL"
"1STNSTVT_VL_DUNWOODI",994015,"CON ED DUNWOODIE","DUNWOD"
"1STNSTVT_VL_DUNWOODI2",972015,"CON ED DUNWOODIE","DUNWOD"
"1STNSTVT_VL_DUNWOODI3",950015,"CON ED DUNWOODIE","DUNWOD"
"1STNSTVT_VL_GENESEE",980015,"NMPC GENESEE","GENESE"
"1STNSTVT_VL_GENESEE2",958015,"NMPC GENESEE","GENESE"
"1STNSTVT_VL_GENESEE3",936015,"NMPC GENESEE","GENESE"
"1STNSTVT_VL_HUDSONVY",990015,"CENT HUD HUDSON VLY","HUD VL"
"1STNSTVT_VL_HUDSONVY2",968015,"CENT HUD HUDSON VLY","HUD VL"
"1STNSTVT_VL_HUDSONVY3",946015,"O&R HUDSON VLY","HUD VL"
"1STNSTVT_VL_LONG-ISL",998015,"LIPA LONG ISLAND","LONGIL"
"1STNSTVT_VL_LONG-ISL2",976015,"LIPA LONG ISLAND","LONGIL"
"1STNSTVT_VL_LONG-ISL3",954015,"LIPA LONG ISLAND","LONGIL"
"1STNSTVT_VL_MILLWOOD",992015,"CON ED MILLWOOD","MILLWD"
"1STNSTVT_VL_MILLWOOD2",970015,"CON ED MILLWOOD","MILLWD"
"1STNSTVT_VL_MILLWOOD3",948015,"CON ED MILLWOOD","MILLWD"
"1STNSTVT_VL_MOHAWKVY",986015,"NMPC MOHAWK VLY","MHK VL"
"1STNSTVT_VL_MOHAWKVY2",964015,"NMPC MOHAWK VLY","MHK VL"
"1STNSTVT_VL_MOHAWKVY3",942015,"NMPC MOHAWK VLY","MHK VL"
"1STNSTVT_VL_NORTH",984015,"NMPC NORTH","NORTH"
"1STNSTVT_VL_NORTH2",962015,"NMPC NORTH","NORTH"
"1STNSTVT_VL_NORTH3",940015,"NMPC NORTH","NORTH"
"1STNSTVT_VL_NY-CITY",996015,"CON ED NY CITY","N.Y.C."
"1STNSTVT_VL_NY-CITY2",974015,"CON ED NY CITY","N.Y.C."
"1STNSTVT_VL_NY-CITY3",952015,"CON ED NY CITY","N.Y.C."
"1STNSTVT_VL_WEST",978015,"NMPC WEST","WEST"
"1STNSTVT_VL_WEST2",956015,"NMPC WEST","WEST"
"1STNSTVT_VL_WEST3",934015,"NMPC WEST","WEST"
"1STNSTVT_VS_CAPITAL",989015,"NMPC CAPITAL","CAPITL"
"1STNSTVT_VS_CAPITAL2",967015,"NMPC CAPITAL","CAPITL"
"1STNSTVT_VS_CAPITAL3",945015,"NMPC CAPITAL","CAPITL"
"1STNSTVT_VS_CENTRAL",983015,"NMPC CENTRAL","CENTRL"
"1STNSTVT_VS_CENTRAL2",961015,"NMPC CENTRAL","CENTRL"
"1STNSTVT_VS_CENTRAL3",939015,"NMPC CENTRAL","CENTRL"
"1STNSTVT_VS_DUNWOODI",995015,"CON ED DUNWOODIE","DUNWOD"
"1STNSTVT_VS_DUNWOODI2",973015,"CON ED DUNWOODIE","DUNWOD"
"1STNSTVT_VS_DUNWOODI3",951015,"CON ED DUNWOODIE","DUNWOD"
"1STNSTVT_VS_GENESEE",981015,"NMPC GENESEE","GENESE"
"1STNSTVT_VS_GENESEE2",959015,"NMPC GENESEE","GENESE"
"1STNSTVT_VS_GENESEE3",937015,"NMPC GENESEE","GENESE"
"1STNSTVT_VS_HUDSONVY",991015,"CENT HUD HUDSON VLY","HUD VL"
"1STNSTVT_VS_HUDSONVY2",969015,"CENT HUD HUDSON VLY","HUD VL"
"1STNSTVT_VS_HUDSONVY3",947015,"O&R HUDSON VLY","HUD VL"
"1STNSTVT_VS_LONG-ISL",999015,"LIPA LONG ISLAND","LONGIL"
"1STNSTVT_VS_LONG-ISL2",977015,"LIPA LONG ISLAND","LONGIL"
"1STNSTVT_VS_LONG-ISL3",955015,"LIPA LONG ISLAND","LONGIL"
"1STNSTVT_VS_MILLWOOD",993015,"CON ED MILLWOOD","MILLWD"
"1STNSTVT_VS_MILLWOOD2",971015,"CON ED MILLWOOD","MILLWD"
"1STNSTVT_VS_MILLWOOD3",949015,"CON ED MILLWOOD","MILLWD"
"1STNSTVT_VS_MOHAWKVY",987015,"NMPC MOHAWK VLY","MHK VL"
"1STNSTVT_VS_MOHAWKVY2",965015,"NMPC MOHAWK VLY","MHK VL"
"1STNSTVT_VS_MOHAWKVY3",943015,"NMPC MOHAWK VLY","MHK VL"
"1STNSTVT_VS_NORTH",985015,"NMPC NORTH","NORTH"
"1STNSTVT_VS_NORTH2",963015,"NMPC NORTH","NORTH"
"1STNSTVT_VS_NORTH3",941015,"NMPC NORTH","NORTH"
"1STNSTVT_VS_NY-CITY",997015,"CON ED NY CITY","N.Y.C."
"1STNSTVT_VS_NY-CITY2",975015,"CON ED NY CITY","N.Y.C."
"1STNSTVT_VS_NY-CITY3",953015,"CON ED NY CITY","N.Y.C."
"1STNSTVT_VS_WEST",979015,"NMPC WEST","WEST"
"1STNSTVT_VS_WEST2",957015,"NMPC WEST","WEST"
"1STNSTVT_VS_WEST3",935015,"NMPC WEST","WEST"
"3CINVVT_VL_CAPITAL",988576,"NMPC CAPITAL","CAPITL"
"3CINVVT_VL_CENTRAL",982576,"NMPC CENTRAL","CENTRL"
"3CINVVT_VL_DUNWOODI",994576,"CON ED DUNWOODIE","DUNWOD"
"3CINVVT_VL_GENESEE",980576,"NMPC GENESEE","GENESE"
"3CINVVT_VL_HUDSONVY",990576,"CENT HUD HUDSON VLY","HUD VL"
"3CINVVT_VL_LONG-ISL",998576,"LIPA LONG ISLAND","LONGIL"
"3CINVVT_VL_MILLWOOD",992576,"CON ED MILLWOOD","MILLWD"
"3CINVVT_VL_MOHAWKVY",986576,"CENT HUD MOHAWK VLY","MHK VL"
"3CINVVT_VL_NORTH",984576,"NMPC NORTH","NORTH"
"3CINVVT_VL_NY-CITY",996576,"CON ED NY CITY","N.Y.C."
"3CINVVT_VL_WEST",978576,"NMPC WEST","WEST"
"3CINVVT_VS_CAPITAL",989576,"NMPC CAPITAL","CAPITL"
"3CINVVT_VS_CENTRAL",983576,"NMPC CENTRAL","CENTRL"
"3CINVVT_VS_DUNWOODI",995576,"CON ED DUNWOODIE","DUNWOD"
"3CINVVT_VS_GENESEE",981576,"NMPC GENESEE","GENESE"
"3CINVVT_VS_HUDSONVY",991576,"CENT HUD HUDSON VLY","HUD VL"
"3CINVVT_VS_LONG-ISL",999576,"LIPA LONG ISLAND","LONGIL"
"3CINVVT_VS_MILLWOOD",993576,"CON ED MILLWOOD","MILLWD"
"3CINVVT_VS_MOHAWKVY",987576,"CENT HUD MOHAWK VLY","MHK VL"
"3CINVVT_VS_NORTH",985576,"NMPC NORTH","NORTH"
"3CINVVT_VS_NY-CITY",997576,"CON ED NY CITY","N.Y.C."
"3CINVVT_VS_WEST",979576,"NMPC WEST","WEST"
"3M-TONAWANDA_NM_WEST",301203,"NMPC WEST","WEST"
"3M-TONAWANDA_PCLB_WEST01",901203,"NMPC WEST","WEST"
"AAPANDG_CE_DUNWOODI",120006,"CON ED DUNWOODIE","DUNWOD"
"AAPANDG_CE_MILLWOOD",119006,"CON ED MILLWOOD","MILLWD"
"AAPANDG_CE_NY-CITY",121006,"CON ED NY CITY","N.Y.C."
"ABENERVT_VL_CAPITAL",988536,"NMPC CAPITAL","CAPITL"
"ABENERVT_VL_CAPITAL2",966536,"NMPC CAPITAL","CAPITL"
"ABENERVT_VL_CAPITAL3",944536,"NMPC CAPITAL","CAPITL"
"ABENERVT_VL_CENTRAL",982536,"NMPC CENTRAL","CENTRL"
"ABENERVT_VL_CENTRAL2",960536,"NMPC CENTRAL","CENTRL"
"ABENERVT_VL_CENTRAL3",938536,"NMPC CENTRAL","CENTRL"
"ABENERVT_VL_DUNWOODI",994536,"CON ED DUNWOODIE","DUNWOD"
"ABENERVT_VL_DUNWOODI2",972536,"CON ED DUNWOODIE","DUNWOD"
"ABENERVT_VL_DUNWOODI3",950536,"CON ED DUNWOODIE","DUNWOD"
"ABENERVT_VL_GENESEE",980536,"NMPC GENESEE","GENESE"
"ABENERVT_VL_GENESEE2",958536,"NMPC GENESEE","GENESE"
"ABENERVT_VL_GENESEE3",936536,"NMPC GENESEE","GENESE"
"ABENERVT_VL_HUDSONVY",990536,"CENT HUD HUDSON VLY","HUD VL"
"ABENERVT_VL_HUDSONVY2",968536,"O&R HUDSON VLY","HUD VL"
"ABENERVT_VL_HUDSONVY3",946536,"O&R HUDSON VLY","HUD VL"
"ABENERVT_VL_LONG-ISL",998536,"LIPA LONG ISLAND","LONGIL"
"ABENERVT_VL_LONG-ISL2",976536,"LIPA LONG ISLAND","LONGIL"
"ABENERVT_VL_LONG-ISL3",954536,"LIPA LONG ISLAND","LONGIL"
"ABENERVT_VL_MILLWOOD",992536,"NYSEG MILLWOOD","MILLWD"
"ABENERVT_VL_MILLWOOD2",970536,"CON ED MILLWOOD","MILLWD"
"ABENERVT_VL_MILLWOOD3",948536,"CON ED MILLWOOD","MILLWD"
"ABENERVT_VL_MOHAWKVY",986536,"CENT HUD MOHAWK VLY","MHK VL"
"ABENERVT_VL_MOHAWKVY2",964536,"NMPC MOHAWK VLY","MHK VL"
"ABENERVT_VL_MOHAWKVY3",942536,"NMPC MOHAWK VLY","MHK VL"
"ABENERVT_VL_NORTH",984536,"NMPC NORTH","NORTH"
"ABENERVT_VL_NORTH2",962536,"NMPC NORTH","NORTH"
"ABENERVT_VL_NORTH3",940536,"NMPC NORTH","NORTH"
"ABENERVT_VL_NY-CITY",996536,"CON ED NY CITY","N.Y.C."
"ABENERVT_VL_NY-CITY2",974536,"CON ED NY CITY","N.Y.C."
"ABENERVT_VL_NY-CITY3",952536,"CON ED NY CITY","N.Y.C."
"ABENERVT_VL_WEST",978536,"NMPC WEST","WEST"
"ABENERVT_VL_WEST2",956536,"NMPC WEST","WEST"
"ABENERVT_VL_WEST3",934536,"NMPC WEST","WEST"
"ABENERVT_VS_CAPITAL",989536,"NMPC CAPITAL","CAPITL"
"ABENERVT_VS_CAPITAL2",967536,"NMPC CAPITAL","CAPITL"
"ABENERVT_VS_CAPITAL3",945536,"NMPC CAPITAL","CAPITL"
"ABENERVT_VS_CENTRAL",983536,"NMPC CENTRAL","CENTRL"
"ABENERVT_VS_CENTRAL2",961536,"NMPC CENTRAL","CENTRL"
"ABENERVT_VS_CENTRAL3",939536,"NMPC CENTRAL","CENTRL"
"ABENERVT_VS_DUNWOODI",995536,"CON ED DUNWOODIE","DUNWOD"
"ABENERVT_VS_DUNWOODI2",973536,"CON ED DUNWOODIE","DUNWOD"
"ABENERVT_VS_DUNWOODI3",951536,"CON ED DUNWOODIE","DUNWOD"
"ABENERVT_VS_GENESEE",981536,"NMPC GENESEE","GENESE"
"ABENERVT_VS_GENESEE2",959536,"NMPC GENESEE","GENESE"
"ABENERVT_VS_GENESEE3",937536,"NMPC GENESEE","GENESE"
"ABENERVT_VS_HUDSONVY",991536,"CENT HUD HUDSON VLY","HUD VL"
"ABENERVT_VS_HUDSONVY2",969536,"O&R HUDSON VLY","HUD VL"
"ABENERVT_VS_HUDSONVY3",947536,"O&R HUDSON VLY","HUD VL"
"ABENERVT_VS_LONG-ISL",999536,"LIPA LONG ISLAND","LONGIL"
"ABENERVT_VS_LONG-ISL2",977536,"LIPA LONG ISLAND","LONGIL"
"ABENERVT_VS_LONG-ISL3",955536,"LIPA LONG ISLAND","LONGIL"
"ABENERVT_VS_MILLWOOD",993536,"NYSEG MILLWOOD","MILLWD"
"ABENERVT_VS_MILLWOOD2",971536,"CON ED MILLWOOD","MILLWD"
"ABENERVT_VS_MILLWOOD3",949536,"CON ED MILLWOOD","MILLWD"
"ABENERVT_VS_MOHAWKVY",987536,"CENT HUD MOHAWK VLY","MHK VL"
"ABENERVT_VS_MOHAWKVY2",965536,"NMPC MOHAWK VLY","MHK VL"
"ABENERVT_VS_MOHAWKVY3",943536,"NMPC MOHAWK VLY","MHK VL"
"ABENERVT_VS_NORTH",985536,"NMPC NORTH","NORTH"
"ABENERVT_VS_NORTH2",963536,"NMPC NORTH","NORTH"
"ABENERVT_VS_NORTH3",941536,"NMPC NORTH","NORTH"
"ABENERVT_VS_NY-CITY",997536,"CON ED NY CITY","N.Y.C."
"ABENERVT_VS_NY-CITY2",975536,"CON ED NY CITY","N.Y.C."
"ABENERVT_VS_NY-CITY3",953536,"CON ED NY CITY","N.Y.C."
"ABENERVT_VS_WEST",979536,"NMPC WEST","WEST"
"ABENERVT_VS_WEST2",957536,"NMPC WEST","WEST"
"ABENERVT_VS_WEST3",935536,"NMPC WEST","WEST"
"ABESTPWR_CE_DUNWOODI",109826,"CON ED DUNWOODIE","DUNWOD"
"ABESTPWR_CE_MILLWOOD",108826,"CON ED MILLWOOD","MILLWD"
"ABESTPWR_CE_NY-CITY",110826,"CON ED NY CITY","N.Y.C."
"ABESTPWR_NM_CAPITAL",306826,"NMPC CAPITAL","CAPITL"
"ABESTPWR_NM_CENTRAL",303826,"NMPC CENTRAL","CENTRL"
"ABESTPWR_NM_GENESEE",302826,"NMPC GENESEE","GENESE"
"ABESTPWR_NM_MOHAWKVY",305826,"NMPC MOHAWK VLY","MHK VL"
"ABESTPWR_NM_NORTH",304826,"NMPC NORTH","NORTH"
"ABESTPWR_NM_WEST",301826,"NMPC WEST","WEST"
"ABESTPWR_NY_CAPITAL",406826,"NYSEG CAPITAL","CAPITL"
"ABESTPWR_NY_CENTRAL",403826,"NYSEG CENTRAL","CENTRL"
"ABESTPWR_NY_HUDSONVY",407826,"NYSEG HUDSON VLY","HUD VL"
"ABESTPWR_NY_MILLWOOD",408826,"NYSEG MILLWOOD","MILLWD"
"ABESTPWR_NY_MOHAWKVY",405826,"NYSEG MOHAWK VLY","MHK VL"
"ABESTPWR_NY_NORTH",404826,"NYSEG NORTH","NORTH"
"ABESTPWR_NY_WEST",401826,"NYSEG WEST","WEST"
"ABESTPWR_OR_HUDSONVY",607826,"O&R HUDSON VLY","HUD VL"
"ABESTPWR_RG_GENESEE",802826,"RG&E GENESEE","GENESE"
"ABNENER_CE_DUNWOODI",109747,"CON ED DUNWOODIE","DUNWOD"
"ABNENER_CE_MILLWOOD",108747,"CON ED MILLWOOD","MILLWD"
"ABNENER_CE_NY-CITY",110747,"CON ED NY CITY","N.Y.C."
"ACADIAVT_VL_CAPITAL",988990,"NMPC CAPITAL","CAPITL"
"ACADIAVT_VL_CAPITAL2",966990,"NMPC CAPITAL","CAPITL"
"ACADIAVT_VL_CAPITAL3",944990,"NMPC CAPITAL","CAPITL"
"ACADIAVT_VL_CENTRAL",982990,"NMPC CENTRAL","CENTRL"
"ACADIAVT_VL_CENTRAL2",960990,"NMPC CENTRAL","CENTRL"
"ACADIAVT_VL_CENTRAL3",938990,"NMPC CENTRAL","CENTRL"
"ACADIAVT_VL_DUNWOODI",994990,"CON ED DUNWOODIE","DUNWOD"
"ACADIAVT_VL_DUNWOODI2",972990,"CON ED DUNWOODIE","DUNWOD"
"ACADIAVT_VL_DUNWOODI3",950990,"CON ED DUNWOODIE","DUNWOD"
"ACADIAVT_VL_GENESEE",980990,"NMPC GENESEE","GENESE"
"ACADIAVT_VL_GENESEE2",958990,"NMPC GENESEE","GENESE"
"ACADIAVT_VL_GENESEE3",936990,"NMPC GENESEE","GENESE"
"ACADIAVT_VL_HUDSONVY",990990,"O&R HUDSON VLY","HUD VL"
"ACADIAVT_VL_HUDSONVY2",968990,"O&R HUDSON VLY","HUD VL"
"ACADIAVT_VL_HUDSONVY3",946990,"O&R HUDSON VLY","HUD VL"
"ACADIAVT_VL_LONG-ISL",998990,"LIPA LONG ISLAND","LONGIL"
"ACADIAVT_VL_LONG-ISL2",976990,"LIPA LONG ISLAND","LONGIL"
"ACADIAVT_VL_LONG-ISL3",954990,"LIPA LONG ISLAND","LONGIL"
"ACADIAVT_VL_MILLWOOD",992990,"CON ED MILLWOOD","MILLWD"
"ACADIAVT_VL_MILLWOOD2",970990,"CON ED MILLWOOD","MILLWD"
"ACADIAVT_VL_MILLWOOD3",948990,"CON ED MILLWOOD","MILLWD"
"ACADIAVT_VL_MOHAWKVY",986990,"NMPC MOHAWK VLY","MHK VL"
"ACADIAVT_VL_MOHAWKVY2",964990,"NMPC MOHAWK VLY","MHK VL"
"ACADIAVT_VL_MOHAWKVY3",942990,"NMPC MOHAWK VLY","MHK VL"
"ACADIAVT_VL_NORTH",984990,"NMPC NORTH","NORTH"
"ACADIAVT_VL_NORTH2",962990,"NMPC NORTH","NORTH"
"ACADIAVT_VL_NORTH3",940990,"NMPC NORTH","NORTH"
"ACADIAVT_VL_NY-CITY",996990,"CON ED NY CITY","N.Y.C."
"ACADIAVT_VL_NY-CITY2",974990,"CON ED NY CITY","N.Y.C."
"ACADIAVT_VL_NY-CITY3",952990,"CON ED NY CITY","N.Y.C."
"ACADIAVT_VL_WEST",978990,"NMPC WEST","WEST"
"ACADIAVT_VL_WEST2",956990,"NMPC WEST","WEST"
"ACADIAVT_VL_WEST3",934990,"NMPC WEST","WEST"
"ACADIAVT_VS_CAPITAL",989990,"NMPC CAPITAL","CAPITL"
"ACADIAVT_VS_CAPITAL2",967990,"NMPC CAPITAL","CAPITL"
"ACADIAVT_VS_CAPITAL3",945990,"NMPC CAPITAL","CAPITL"
"ACADIAVT_VS_CENTRAL",983990,"NMPC CENTRAL","CENTRL"
"ACADIAVT_VS_CENTRAL2",961990,"NMPC CENTRAL","CENTRL"
"ACADIAVT_VS_CENTRAL3",939990,"NMPC CENTRAL","CENTRL"
"ACADIAVT_VS_DUNWOODI",995990,"CON ED DUNWOODIE","DUNWOD"
"ACADIAVT_VS_DUNWOODI2",973990,"CON ED DUNWOODIE","DUNWOD"
"ACADIAVT_VS_DUNWOODI3",951990,"CON ED DUNWOODIE","DUNWOD"
"ACADIAVT_VS_GENESEE",981990,"NMPC GENESEE","GENESE"
"ACADIAVT_VS_GENESEE2",959990,"NMPC GENESEE","GENESE"
"ACADIAVT_VS_GENESEE3",937990,"NMPC GENESEE","GENESE"
"ACADIAVT_VS_HUDSONVY",991990,"O&R HUDSON VLY","HUD VL"
"ACADIAVT_VS_HUDSONVY2",969990,"O&R HUDSON VLY","HUD VL"
"ACADIAVT_VS_HUDSONVY3",947990,"O&R HUDSON VLY","HUD VL"
"ACADIAVT_VS_LONG-ISL",999990,"LIPA LONG ISLAND","LONGIL"
"ACADIAVT_VS_LONG-ISL2",977990,"LIPA LONG ISLAND","LONGIL"
"ACADIAVT_VS_LONG-ISL3",955990,"LIPA LONG ISLAND","LONGIL"
"ACADIAVT_VS_MILLWOOD",993990,"CON ED MILLWOOD","MILLWD"
"ACADIAVT_VS_MILLWOOD2",971990,"CON ED MILLWOOD","MILLWD"
"ACADIAVT_VS_MILLWOOD3",949990,"CON ED MILLWOOD","MILLWD"
"ACADIAVT_VS_MOHAWKVY",987990,"NMPC MOHAWK VLY","MHK VL"
"ACADIAVT_VS_MOHAWKVY2",965990,"NMPC MOHAWK VLY","MHK VL"
"ACADIAVT_VS_MOHAWKVY3",943990,"NMPC MOHAWK VLY","MHK VL"
"ACADIAVT_VS_NORTH",985990,"NMPC NORTH","NORTH"
"ACADIAVT_VS_NORTH2",963990,"NMPC NORTH","NORTH"
"ACADIAVT_VS_NORTH3",941990,"NMPC NORTH","NORTH"
"ACADIAVT_VS_NY-CITY",997990,"CON ED NY CITY","N.Y.C."
"ACADIAVT_VS_NY-CITY2",975990,"CON ED NY CITY","N.Y.C."
"ACADIAVT_VS_NY-CITY3",953990,"CON ED NY CITY","N.Y.C."
"ACADIAVT_VS_WEST",979990,"NMPC WEST","WEST"
"ACADIAVT_VS_WEST2",957990,"NMPC WEST","WEST"
"ACADIAVT_VS_WEST3",935990,"NMPC WEST","WEST"
"ACCEMWII_CE_DUNWOODI",109515,"CON ED DUNWOODIE","DUNWOD"
"ACCEMWII_CE_MILLWOOD",108515,"CON ED MILLWOOD","MILLWD"
"ACCEMWII_CE_NY-CITY",110515,"CON ED NY CITY","N.Y.C."
"ACCEMWII_CH_HUDSONVY",507515,"CENT HUD HUDSON VLY","HUD VL"
"ACCEMWII_CH_MOHAWKVY",505515,"CENT HUD MOHAWK VLY","MHK VL"
"ACCEMWII_NM_CAPITAL",306515,"NMPC CAPITAL","CAPITL"
"ACCEMWII_NM_CENTRAL",303515,"NMPC CENTRAL","CENTRL"
"ACCEMWII_NM_GENESEE",302515,"NMPC GENESEE","GENESE"
"ACCEMWII_NM_MOHAWKVY",305515,"NMPC MOHAWK VLY","MHK VL"
"ACCEMWII_NM_NORTH",304515,"NMPC NORTH","NORTH"
"ACCEMWII_NM_WEST",301515,"NMPC WEST","WEST"
"ACCENT_CE_DUNWOODI",109469,"CON ED DUNWOODIE","DUNWOD"
"ACCENT_CE_HUDSONVY",107469,"CON ED HUDSON VLY","HUD VL"
"ACCENT_CE_MILLWOOD",108469,"CON ED MILLWOOD","MILLWD"
"ACCENT_CE_NY-CITY",110469,"CON ED NY CITY","N.Y.C."
"ACCENT_CH_HUDSONVY",507469,"CENT HUD HUDSON VLY","HUD VL"
"ACCENT_CH_MOHAWKVY",505469,"CENT HUD MOHAWK VLY","MHK VL"
"ACCENT_NY_CAPITAL",406469,"NYSEG CAPITAL","CAPITL"
"ACCENT_NY_CENTRAL",403469,"NYSEG CENTRAL","CENTRL"
"ACCENT_NY_HUDSONVY",407469,"NYSEG HUDSON VLY","HUD VL"
"ACCENT_NY_MILLWOOD",408469,"NYSEG MILLWOOD","MILLWD"
"ACCENT_NY_MOHAWKVY",405469,"NYSEG MOHAWK VLY","MHK VL"
"ACCENT_NY_NORTH",404469,"NYSEG NORTH","NORTH"
"ACCENT_NY_WEST",401469,"NYSEG WEST","WEST"
"ACNPOWER_CE_DUNWOODI",109323,"CON ED DUNWOODIE","DUNWOD"
"ACNPOWER_CE_MILLWOOD",108323,"CON ED MILLWOOD","MILLWD"
"ACNPOWER_CE_NY-CITY",110323,"CON ED NY CITY","N.Y.C."
"ACTCOMVT_VL_CAPITAL",988004,"NMPC CAPITAL","CAPITL"
"ACTCOMVT_VL_CENTRAL",982004,"NMPC CENTRAL","CENTRL"
"ACTCOMVT_VL_DUNWOODI",994004,"CON ED DUNWOODIE","DUNWOD"
"ACTCOMVT_VL_GENESEE",980004,"NMPC GENESEE","GENESE"
"ACTCOMVT_VL_HUDSONVY",990004,"CENT HUD HUDSON VLY","HUD VL"
"ACTCOMVT_VL_LONG-ISL",998004,"LIPA LONG ISLAND","LONGIL"
"ACTCOMVT_VL_MILLWOOD",992004,"CON ED MILLWOOD","MILLWD"
"ACTCOMVT_VL_MOHAWKVY",986004,"NMPC MOHAWK VLY","MHK VL"
"ACTCOMVT_VL_NORTH",984004,"NMPC NORTH","NORTH"
"ACTCOMVT_VL_NY-CITY",996004,"CON ED NY CITY","N.Y.C."
"ACTCOMVT_VL_WEST",978004,"NMPC WEST","WEST"
"ACTCOMVT_VS_CAPITAL",989004,"NMPC CAPITAL","CAPITL"
"ACTCOMVT_VS_CENTRAL",983004,"NMPC CENTRAL","CENTRL"
"ACTCOMVT_VS_DUNWOODI",995004,"CON ED DUNWOODIE","DUNWOD"
"ACTCOMVT_VS_GENESEE",981004,"NMPC GENESEE","GENESE"
"ACTCOMVT_VS_HUDSONVY",991004,"CENT HUD HUDSON VLY","HUD VL"
"ACTCOMVT_VS_LONG-ISL",999004,"LIPA LONG ISLAND","LONGIL"
"ACTCOMVT_VS_MILLWOOD",993004,"CON ED MILLWOOD","MILLWD"
"ACTCOMVT_VS_MOHAWKVY",987004,"NMPC MOHAWK VLY","MHK VL"
"ACTCOMVT_VS_NORTH",985004,"NMPC NORTH","NORTH"
"ACTCOMVT_VS_NY-CITY",997004,"CON ED NY CITY","N.Y.C."
"ACTCOMVT_VS_WEST",979004,"NMPC WEST","WEST"
"ADGGRPVT_VL_CAPITAL",988001,"NMPC CAPITAL","CAPITL"
"ADGGRPVT_VL_CAPITAL2",966001,"NMPC CAPITAL","CAPITL"
"ADGGRPVT_VL_CAPITAL3",944001,"NMPC CAPITAL","CAPITL"
"ADGGRPVT_VL_CENTRAL",982001,"NMPC CENTRAL","CENTRL"
"ADGGRPVT_VL_CENTRAL2",960001,"NMPC CENTRAL","CENTRL"
"ADGGRPVT_VL_CENTRAL3",938001,"NMPC CENTRAL","CENTRL"
"ADGGRPVT_VL_DUNWOODI",994001,"CON ED DUNWOODIE","DUNWOD"
"ADGGRPVT_VL_DUNWOODI2",972001,"CON ED DUNWOODIE","DUNWOD"
"ADGGRPVT_VL_DUNWOODI3",950001,"CON ED DUNWOODIE","DUNWOD"
"ADGGRPVT_VL_GENESEE",980001,"NMPC GENESEE","GENESE"
"ADGGRPVT_VL_GENESEE2",958001,"NMPC GENESEE","GENESE"
"ADGGRPVT_VL_GENESEE3",936001,"NMPC GENESEE","GENESE"
"ADGGRPVT_VL_HUDSONVY",990001,"O&R HUDSON VLY","HUD VL"
"ADGGRPVT_VL_HUDSONVY2",968001,"O&R HUDSON VLY","HUD VL"
"ADGGRPVT_VL_HUDSONVY3",946001,"O&R HUDSON VLY","HUD VL"
"ADGGRPVT_VL_LONG-ISL",998001,"LIPA LONG ISLAND","LONGIL"
"ADGGRPVT_VL_LONG-ISL2",976001,"LIPA LONG ISLAND","LONGIL"
"ADGGRPVT_VL_LONG-ISL3",954001,"LIPA LONG ISLAND","LONGIL"
"ADGGRPVT_VL_MILLWOOD",992001,"CON ED MILLWOOD","MILLWD"
"ADGGRPVT_VL_MILLWOOD2",970001,"CON ED MILLWOOD","MILLWD"
"ADGGRPVT_VL_MILLWOOD3",948001,"CON ED MILLWOOD","MILLWD"
"ADGGRPVT_VL_MOHAWKVY",986001,"NMPC MOHAWK VLY","MHK VL"
"ADGGRPVT_VL_MOHAWKVY2",964001,"NMPC MOHAWK VLY","MHK VL"
"ADGGRPVT_VL_MOHAWKVY3",942001,"NMPC MOHAWK VLY","MHK VL"
"ADGGRPVT_VL_NORTH",984001,"NMPC NORTH","NORTH"
"ADGGRPVT_VL_NORTH2",962001,"NMPC NORTH","NORTH"
"ADGGRPVT_VL_NORTH3",940001,"NMPC NORTH","NORTH"
"ADGGRPVT_VL_NY-CITY",996001,"CON ED NY CITY","N.Y.C."
"ADGGRPVT_VL_NY-CITY2",974001,"CON ED NY CITY","N.Y.C."
"ADGGRPVT_VL_NY-CITY3",952001,"CON ED NY CITY","N.Y.C."
"ADGGRPVT_VL_WEST",978001,"NMPC WEST","WEST"
"ADGGRPVT_VL_WEST2",956001,"NMPC WEST","WEST"
"ADGGRPVT_VL_WEST3",934001,"NMPC WEST","WEST"
"ADGGRPVT_VS_CAPITAL",989001,"NMPC CAPITAL","CAPITL"
"ADGGRPVT_VS_CAPITAL2",967001,"NMPC CAPITAL","CAPITL"
"ADGGRPVT_VS_CAPITAL3",945001,"NMPC CAPITAL","CAPITL"
"ADGGRPVT_VS_CENTRAL",983001,"NMPC CENTRAL","CENTRL"
